nombre,cct,nivel,servicio_educativo,turno,entidad,municipio,localidad,direccion,codigo_postal,alumnos,docentes,grupos,aulas,computadoras
INICIAL,30PDI0014M,,,,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,XALAPA-ENRÍQUEZ,CALLE RIO PANTEPEC,91069,9,1,1,0,0
INICIAL,30PDI0016K,INICIAL,CENTRO DE ATENCIÓN INFANTIL MANITAS QUE TRABAJAN,,VERACRUZ DE IGNACIO DE LA LLAVE,ORIZABA,ORIZABA,CALLE ORIENTE 4  NUM. EXT. 1780,94301,122,8,2,0,0
INICIAL,30PDI0025S,INICIAL,CENTRO DE ATENCIÓN INFANTIL ESTEFANIA CASTAÑEDA,,VERACRUZ DE IGNACIO DE LA LLAVE,ORIZABA,ORIZABA,CALLE SUR 19 NUM. EXT. 1,94301,128,0,6,0,0
INICIAL,30PDI0030D,INICIAL,CENTRO DE ATENCIÓN INFANTIL LOS TUXTLAS,,VERACRUZ DE IGNACIO DE LA LLAVE,SAN ANDRÉS TUXTLA,SAN ANDRÉS TUXTLA,CALLE MANUEL A. DE LA CABADA,95730,3,1,1,0,0
INICIAL,30PDI0038W,INICIAL,"CENTRO DE ATENCIÓN INFANTIL CENTRO EDUCATIVO SIGLO XXI LAS ÁNIMAS, S.C.",,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,XALAPA-ENRÍQUEZ,CALLE TAPACHULA NUM. EXT. 58,91190,5,1,1,0,0
INICIAL,30PDI0045F,INICIAL,CENTRO DE ATENCIÓN INFANTIL EL PRINCIPITO I,,VERACRUZ DE IGNACIO DE LA LLAVE,HUATUSCO,HUATUSCO DE CHICUELLAR,AVENIDA 5 ORIENTE NUM. EXT. 1304,94100,8,1,1,0,0
INICIAL,30PDI0046E,INICIAL,CENTRO DE ATENCIÓN INFANTIL CARRUSEL,,VERACRUZ DE IGNACIO DE LA LLAVE,RÍO BLANCO,RÍO BLANCO,AVENIDA CAMINO NACIONAL NUM. EXT. 1466,94733,0,0,0,0,0
INICIAL,30PDI0047D,INICIAL,CENTRO DE ATENCIÓN INFANTIL INSTITUTO AMERICA A.C.,,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ,CALLE 16 DE SEPTIEMBRE NUM. EXT. 297,91709,10,1,2,0,0
INICIAL,30PDI0063V,INICIAL,CENTRO DE ATENCIÓN INFANTIL ENRIQUE C. RÉBSAMEN,,VERACRUZ DE IGNACIO DE LA LLAVE,ORIZABA,ORIZABA,CALLE SUR 31 NUM. EXT. 318,94300,182,12,7,0,0
INICIAL,30PDI0100I,INICIAL,PAPALOTE II CENTRO DE ATENCIÓN INFANTIL,,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ,CALLE ALACIO PEREZ NUM. EXT. 858,91910,36,8,2,0,0
